Group num: 0, TC(X;Y_j): 0.229
kingdom, 0.031, 1.000, 0.031
drive, 0.031, 1.000, 0.031
wise, 0.021, 1.000, 0.021
win, 0.019, 1.000, 0.019
good_man, 0.015, 1.000, 0.015
wise_man, 0.015, 1.000, 0.015
depart, 0.015, 1.000, 0.015
alderman, 0.013, 1.000, 0.013
great_council, 0.013, 1.000, 0.013
naval, 0.011, 1.000, 0.011
bury_minster, 0.011, 1.000, 0.011
remain, 0.010, 1.000, 0.010
fair, 0.009, 1.000, 0.009
destruction, 0.007, 1.000, 0.007
port, 0.007, 1.000, 0.007
rule, 0.006, 1.000, 0.006
obtain, 0.006, 1.000, 0.006
Group num: 7, TC(X;Y_j): 0.113
archbishop, 0.117, 1.000, 0.117
abbot, 0.078, 1.000, 0.078
choose, 0.058, 1.000, 0.058
mass_day, 0.048, 1.000, 0.048
resign, 0.027, 1.000, 0.027
take_wife, 0.022, 1.000, 0.022
synod, 0.020, 1.000, 0.020
invest, 0.020, 1.000, 0.020
give_abbacy, 0.016, 1.000, 0.016
choose_monk, 0.015, 1.000, 0.015
decease, 0.015, 1.000, 0.015
blessing, 0.015, 1.000, 0.015
abbacy, 0.015, 1.000, 0.015
pomp, 0.010, 1.000, 0.010
brother_succeed, 0.008, 1.000, 0.008
episcopal, 0.008, 1.000, 0.008
apostle, 0.008, 1.000, 0.008
bless, 0.008, 1.000, 0.008
assistance, 0.008, 1.000, 0.008
teach, 0.006, 1.000, 0.006
emperor, 0.006, 1.000, 0.006
stead, 0.005, 1.000, 0.005
consecrate_archbishop, 0.005, 1.000, 0.005
succeed_government, 0.004, 1.000, 0.004
altar, 0.003, 1.000, 0.003
die_body, 0.003, 1.000, 0.003
harass, 0.002, 1.000, 0.002
win_land, 0.002, 1.000, 0.002
Group num: 8, TC(X;Y_j): 0.086
castle, 0.083, 1.000, 0.083
peace, 0.077, 1.000, 0.077
promise, 0.055, 1.000, 0.055
lord, 0.046, 1.000, 0.046
protection, 0.023, 1.000, 0.023
treachery, 0.021, 1.000, 0.021
lie, 0.015, 1.000, 0.015
relict, 0.013, 1.000, 0.013
guild, 0.013, 1.000, 0.013
surrender, 0.013, 1.000, 0.013
dignity, 0.013, 1.000, 0.013
desert, 0.011, 1.000, 0.011
fill, 0.011, 1.000, 0.011
custody, 0.011, 1.000, 0.011
dwell, 0.011, 1.000, 0.011
do_homage, 0.009, 1.000, 0.009
renounce, 0.009, 1.000, 0.009
