Group num: 0, TC(X;Y_j): 0.186
plunder, 0.123, 1.000, 0.123
burn, 0.071, 1.000, 0.071
do_harm, 0.050, 1.000, 0.050
cattle, 0.036, 1.000, 0.036
large_army, 0.028, 1.000, 0.028
spoil, 0.026, 1.000, 0.026
midwinter, 0.023, 1.000, 0.023
wind, 0.021, 1.000, 0.021
return, 0.020, 1.000, 0.020
arise, 0.019, 1.000, 0.019
sea, 0.017, 1.000, 0.017
landsman, 0.014, 1.000, 0.014
relict, 0.014, 1.000, 0.014
horse, 0.013, 1.000, 0.013
govern, 0.010, 1.000, 0.010
good_man, 0.009, 1.000, 0.009
reign, 0.009, 1.000, 0.009
remember, 0.007, 1.000, 0.007
earth, 0.005, 1.000, 0.005
earthquake, 0.004, 1.000, 0.004
Group num: 6, TC(X;Y_j): 0.089
council, 0.043, 1.000, 0.043
tribute, 0.041, 1.000, 0.041
provision, 0.038, 1.000, 0.038
swear, 0.038, 1.000, 0.038
hold_court, 0.023, 1.000, 0.023
conduct, 0.022, 1.000, 0.022
give_castle, 0.020, 1.000, 0.020
agree, 0.020, 1.000, 0.020
abode, 0.019, 1.000, 0.019
full_friendship, 0.017, 1.000, 0.017
accept, 0.017, 1.000, 0.017
increase, 0.017, 1.000, 0.017
offer, 0.016, 1.000, 0.016
consent, 0.015, 1.000, 0.015
pay, 0.014, 1.000, 0.014
faithful, 0.014, 1.000, 0.014
conspiracy, 0.012, 1.000, 0.012
declare, 0.012, 1.000, 0.012
tribute_pay, 0.012, 1.000, 0.012
moon, 0.012, 1.000, 0.012
fall, 0.010, 1.000, 0.010
unite, 0.008, 1.000, 0.008
star, 0.008, 1.000, 0.008
oath, 0.008, 1.000, 0.008
sun, 0.007, 1.000, 0.007
child, 0.006, 1.000, 0.006
territory, 0.006, 1.000, 0.006
harass, 0.003, 1.000, 0.003
work_castle, 0.001, 1.000, 0.001
Group num: 7, TC(X;Y_j): 0.083
pall, 0.065, 1.000, 0.065
archbishop, 0.056, 1.000, 0.056
mass_day, 0.051, 1.000, 0.051
consecrate, 0.040, 1.000, 0.040
synod, 0.021, 1.000, 0.021
episcopal, 0.018, 1.000, 0.018
blessing, 0.015, 1.000, 0.015
nephew, 0.013, 1.000, 0.013
choose_pope, 0.013, 1.000, 0.013
brother_succeed, 0.012, 1.000, 0.012
die_body, 0.012, 1.000, 0.012
holy, 0.012, 1.000, 0.012
baptize, 0.010, 1.000, 0.010
bless, 0.009, 1.000, 0.009
dignity, 0.009, 1.000, 0.009
give_abbacy, 0.008, 1.000, 0.008
obtain, 0.008, 1.000, 0.008
succeed_government, 0.007, 1.000, 0.007
stead, 0.007, 1.000, 0.007
weather, 0.007, 1.000, 0.007
altar, 0.007, 1.000, 0.007
consecrate_archbishop, 0.006, 1.000, 0.006
great_pomp, 0.005, 1.000, 0.005
give_bishopric, 0.005, 1.000, 0.005
clergy_laity, 0.005, 1.000, 0.005
apostle, 0.004, 1.000, 0.004
teach, 0.004, 1.000, 0.004
destruction, 0.003, 1.000, 0.003
loss, 0.001, 1.000, 0.001
Group num: 8, TC(X;Y_j): 0.071
aid, 0.054, 1.000, 0.054
overtake, 0.033, 1.000, 0.033
flight, 0.031, 1.000, 0.031
fight_put, 0.029, 1.000, 0.029
fortress, 0.025, 1.000, 0.025
work, 0.019, 1.000, 0.019
