,0,1,feature_importance,vocab
418,stead,6,0.000761475,x
366,hear,18,0.000761473,x
546,fort,7,0.000761422,x
525,steal,8,0.000761362,x
353,consecrate_archbishop,7,0.000761332,x
490,conflict,5,0.000761291,x
558,come_meet,11,0.000761211,x
777,oppress,7,0.000761208,x
517,provision,16,0.000761166,x
360,claim,5,0.000761088,x
738,chief_man,6,0.000760991,x
363,demand,7,0.000760989,x
425,porch,5,0.000760946,x
410,sheriff,6,0.000760928,x
595,reach,8,0.000760863,x
432,consent,6,0.000760798,x
650,ground,6,0.000760785,x
740,sell,5,0.000760782,x
523,security,7,0.000760758,x
375,proclaim,5,0.000760758,x
763,dignity,6,0.000760731,x
682,engage,7,0.000760672,x
359,choose_monk,6,0.000760649,x
128,leader,8,0.000760616,x
29,bless,11,0.000760602,x
550,navy,5,0.000760168,x
678,murrain_cattle,6,0.000760091,x
647,fair,5,0.000760067,x
362,decree,9,0.000759896,x
663,advice,8,0.000759772,x
681,warn,5,0.0007593,x
413,priest_succeed,7,0.000712247,x
518,great_pomp,6,0.000678318,x
552,overtake,7,0.000675675,x
411,wise_man,8,0.000636004,x
236,take_wife,7,0.000633173,x
334,speed,6,0.000632457,x
778,do_homage,5,0.00061051,x
701,do_harm,17,0.000592544,x
642,population,6,0.000557797,x
736,succeed_earldom,5,0.000512448,x
373,perform,8,0.000508968,x
444,offer,8,0.000508968,x
766,strength,7,0.000508945,x
361,consecration,6,0.000508939,x
702,man_remember,11,0.000508929,x
24,begin_reign,5,0.000508916,x
503,consecrated,7,0.000508912,x
275,betray,21,0.000508909,x
572,bridge,11,0.000508909,x
486,faithful,10,0.000508906,x
568,fortify,6,0.000508896,x
207,enemy,30,0.000508883,x
419,archbishopric,12,0.000508883,x
86,obtain,20,0.00050888,x
266,end_life,5,0.00050888,x
543,swear_oath,13,0.000508873,x
352,die_bury,12,0.00050887,x
228,invest,10,0.00050885,x
671,evil,22,0.00050885,x
428,resign,12,0.00050884,x
136,waste,5,0.000508837,x
722,clergy_laity,6,0.000508837,x
480,weather,16,0.000508817,x
402,friendship,8,0.000508804,x
346,wist,5,0.000508749,x
507,naval_armament,6,0.00050821,x
440,hostage,19,0.000508093,x
117,war,13,0.000508054,x
648,field_battle,5,0.000507956,x
554,sail,7,0.000507856,x
677,sea_coast,8,0.000507836,x
771,give_castle,6,0.000507775,x
423,moon,8,0.000507708,x
713,wind,9,0.000507703,x
724,full_friendship,6,0.000507617,x
4,overcome,7,0.000507599,x
776,conspiracy,5,0.000507589,x
484,concern,8,0.000507495,x
247,design,8,0.000507488,x
591,maintain,7,0.000507397,x
382,drive_bishopric,5,0.000507229,x
336,synod,15,0.000507157,x
102,pass,8,0.000507103,x
588,corn,12,0.000507006,x
731,altar,6,0.000506877,x
646,lay_waste,8,0.000506876,x
657,heir,5,0.000506825,x
755,cousin,5,0.000506804,x
95,rood,8,0.000506658,x
689,determine,5,0.000506636,x
752,declare,6,0.000506556,x
163,rank,7,0.000506519,x
635,advise,13,0.000506477,x
743,rise,6,0.000506419,x
730,entertain,6,0.000506291,x
235,succeed_archbishopric,6,0.00050624,x
224,desert,5,0.000506159,x
636,aid,12,0.000506085,x
376,service,9,0.000506041,x
699,sick,5,0.000506007,x
313,hallow,6,0.000505872,x
